pair,range_expansion,extreme_upper,extreme_lower,consecutive_bars,bars,exhaustions,signals,n_long,n_short,signal_rate,win_rate,mean_return,sharpe,ic,ic_pval,reduction_ratio
USDJPY,0.8,0.75,0.35,3,2049,211,130,66,64,6.34455832113226,52.307692307692314,8.568614097462534e-05,6.955979669815536,0.09676332011186994,0.27343417930399216,0.6161137440758294
USDJPY,0.8,0.75,0.35,4,2049,106,68,35,33,3.3186920448999513,50.0,1.3219291110592104e-05,1.262075058886877,0.07870478414108192,0.5234903355986349,0.6415094339622641
USDJPY,0.8,0.75,0.3,2,2049,404,234,117,117,11.420204978038068,54.27350427350427,0.000171062951142613,13.541613748424245,0.15050724899515605,0.02127187116777969,0.5792079207920792
USDJPY,0.8,0.75,0.3,3,2049,196,117,53,64,5.710102489019034,52.13675213675214,0.00011297515214487453,8.958509396925859,0.14794030355810428,0.11142733956206369,0.5969387755102041
USDJPY,0.8,0.75,0.3,4,2049,96,58,25,33,2.8306490971205465,48.275862068965516,1.4412125325677084e-05,1.2938590860511556,0.15078040356449238,0.2585665608170986,0.6041666666666666
USDJPY,0.8,0.75,0.25,2,2049,381,212,95,117,10.346510492923377,54.71698113207547,0.00019465957462322695,15.315645521118707,0.17614666981953933,0.010178805962412382,0.5564304461942258
USDJPY,0.8,0.75,0.25,3,2049,188,109,45,64,5.3196681307955105,52.293577981651374,0.00015224520157337205,12.603152482387024,0.184774382250565,0.05442260484662715,0.5797872340425532
USDJPY,0.8,0.75,0.25,4,2049,92,54,21,33,2.635431918008785,48.148148148148145,5.45994469828631e-05,5.073872309588751,0.21326572153018467,0.12153090190546975,0.5869565217391305
USDJPY,0.8,0.75,0.2,2,2049,343,188,71,117,9.175207418252807,53.191489361702125,0.00017917354811498423,13.870841533789198,0.1723500430352518,0.018024705488128786,0.5481049562682215
USDJPY,0.8,0.75,0.2,3,2049,173,101,37,64,4.929233772571987,51.48514851485149,0.00013259682549021163,11.011653523493932,0.19172107561106885,0.05477622604665459,0.5838150289017341
USDJPY,0.8,0.75,0.2,4,2049,84,51,18,33,2.4890190336749636,49.01960784313725,3.963991137276465e-05,3.883340507086044,0.26760349764853386,0.05763308395619148,0.6071428571428571
USDJPY,0.8,0.75,0.15,2,2049,317,174,57,117,8.49194729136164,51.724137931034484,0.00017117664407021883,13.16404669519295,0.16297457130678125,0.0316602709669565,0.5488958990536278
USDJPY,0.8,0.75,0.15,3,2049,163,94,30,64,4.5876037091264035,50.0,0.00013851018124977826,11.593626495683624,0.20942939959456264,0.04278011574436558,0.5766871165644172
USDJPY,0.8,0.75,0.15,4,2049,79,47,14,33,2.2938018545632017,46.808510638297875,2.506778592486456e-05,2.6072189536591086,0.2812525755969908,0.05547901840772422,0.5949367088607594
USDJPY,0.8,0.8,0.35,2,2049,400,238,140,98,11.61542215714983,55.46218487394958,0.00017395457348791865,13.959552652152414,0.12774198344963766,0.04902164246039361,0.595
USDJPY,0.8,0.8,0.35,3,2049,193,119,66,53,5.807711078574915,52.10084033613446,0.00010032362746172004,8.132485417289672,0.09007431264449584,0.3299546629819731,0.616580310880829
USDJPY,0.8,0.8,0.35,4,2049,98,61,35,26,2.977061981454368,50.81967213114754,4.11961961635173e-05,3.9970043383300258,0.07907760163178786,0.5446551951921804,0.6224489795918368
USDJPY,0.8,0.8,0.3,2,2049,373,215,117,98,10.492923377257199,55.348837209302324,0.00019670092791846045,15.370637031423197,0.1579939009670224,0.02046473508374767,0.5764075067024129
USDJPY,0.8,0.8,0.3,3,2049,178,106,53,53,5.1732552464616886,51.886792452830186,0.00013223968058673314,10.450906794000877,0.14768446933687404,0.13084618803668946,0.5955056179775281
USDJPY,0.8,0.8,0.3,4,2049,88,51,25,26,2.4890190336749636,49.01960784313725,4.803842037928555e-05,4.351646736849501,0.15988523036018273,0.26240268980495746,0.5795454545454546
USDJPY,0.8,0.8,0.25,2,2049,350,193,95,98,9.41922889214251,55.95854922279793,0.0002255429987317185,17.498389690349903,0.18509196462921865,0.009966728505886266,0.5514285714285714
